State,Year,Lint Yield (Pounds/Harvested Acre),average_rain_fall_mm_per_year,pesticides_tonnes
Brazil,2006,33823,1761,238716
Brazil,2006,33823,1761,238716
Brazil,2006,33823,1761,238716
Brazil,2006,33823,1761,238716
Brazil,2006,33823,1761,238716
Brazil,2006,33823,1761,238716
Brazil,2006,33823,1761,238716
Brazil,2006,33823,1761,238716
Brazil,2006,33823,1761,238716
Brazil,2006,33823,1761,238716
Brazil,2007,37852,1761,304031
Brazil,2007,37852,1761,304031
Brazil,2007,37852,1761,304031
Brazil,2007,37852,1761,304031
Brazil,2007,37852,1761,304031
Brazil,2007,37852,1761,304031
Brazil,2007,37852,1761,304031
Brazil,2007,37852,1761,304031
Brazil,2007,37852,1761,304031
Brazil,2007,37852,1761,304031
Brazil,2007,37852,1761,304031
Brazil,2008,40800,1761,312637
Brazil,2008,40800,1761,312637
Brazil,2008,40800,1761,312637
Brazil,2008,40800,1761,312637
Brazil,2008,40800,1761,312637
Brazil,2008,40800,1761,312637
Brazil,2008,40800,1761,312637
Brazil,2008,40800,1761,312637
Brazil,2008,40800,1761,312637
Brazil,2008,40800,1761,312637
Brazil,2008,40800,1761,312637
Brazil,2009,37145,1761,335742
Brazil,2009,37145,1761,335742
Brazil,2009,37145,1761,335742
Brazil,2009,37145,1761,335742
Brazil,2009,37145,1761,335742
Brazil,2009,37145,1761,335742
Brazil,2009,37145,1761,335742
Brazil,2009,37145,1761,335742
Brazil,2009,37145,1761,335742
Brazil,2009,37145,1761,335742
Brazil,2009,37145,1761,335742
Brazil,2010,43667,1761,342580
Brazil,2010,43667,1761,342580
Brazil,2010,43667,1761,342580
Brazil,2010,43667,1761,342580
Brazil,2010,43667,1761,342580
Brazil,2010,43667,1761,342580
Brazil,2010,43667,1761,342580
Brazil,2010,43667,1761,342580
Brazil,2010,43667,1761,342580
Brazil,2010,43667,1761,342580
Brazil,2010,43667,1761,342580
Brazil,2011,42107,1761,345026
Brazil,2011,42107,1761,345026
Brazil,2011,42107,1761,345026
Brazil,2011,42107,1761,345026
Brazil,2011,42107,1761,345026
Brazil,2011,42107,1761,345026
Brazil,2011,42107,1761,345026
Brazil,2011,42107,1761,345026
Brazil,2011,42107,1761,345026
Brazil,2011,42107,1761,345026
Brazil,2011,42107,1761,345026
Brazil,2012,50057,1761,346583
Brazil,2012,50057,1761,346583
Brazil,2012,50057,1761,346583
Brazil,2012,50057,1761,346583
Brazil,2012,50057,1761,346583
Brazil,2012,50057,1761,346583
Brazil,2012,50057,1761,346583
Brazil,2012,50057,1761,346583
Brazil,2012,50057,1761,346583
Brazil,2012,50057,1761,346583
Brazil,2012,50057,1761,346583
Brazil,2013,52536,1761,367778
Brazil,2013,52536,1761,367778
Brazil,2013,52536,1761,367778
Brazil,2013,52536,1761,367778
Brazil,2013,52536,1761,367778
Brazil,2013,52536,1761,367778
Brazil,2013,52536,1761,367778
Brazil,2013,52536,1761,367778
Brazil,2013,52536,1761,367778
Brazil,2013,52536,1761,367778
Brazil,2013,52536,1761,367778
Bulgaria,1990,28771,608,3906
Bulgaria,1991,49551,608,3906
Bulgaria,1992,28128,608,3906
Bulgaria,1993,18609,608,3777.25
Bulgaria,1994,28056,608,3648.5
Bulgaria,1995,38237,608,3519.75
Bulgaria,1996,21810,608,3391
Bulgaria,1997,35782,608,3262.25
Bulgaria,1998,27318,608,3133.5
Bulgaria,1999,38239,608,3004.75
Bulgaria,2000,17239,608,2876
Bulgaria,2001,24713,608,2747.25
Bulgaria,2002,42364,608,2618.5
Bulgaria,2004,55400,608,2361
Bulgaria,2005,53085,608,2232.25
Bulgaria,2006,45328,608,2103.5
Bulgaria,2007,61244,608,1974.75
Bulgaria,2008,41548,608,1846
Bulgaria,2009,47071,608,1717.25
Bulgaria,2010,62512,608,1588.5
Bulgaria,2011,55310,608,1459.75
Bulgaria,2012,36800,608,1331
Bulgaria,2013,63943,608,1197
Burkina Faso,1990,14612,748,29.1
Burkina Faso,1991,16868,748,29.1
Burkina Faso,1992,15238,748,29.1
Burkina Faso,1993,13722,748,17
Burkina Faso,1994,16042,748,6
Burkina Faso,1995,11441,748,3.04
Burkina Faso,1996,15521,748,39.16
Burkina Faso,1997,15185,748,75.29
Burkina Faso,1998,13919,748,111.41
Burkina Faso,1999,16241,748,93.43
Burkina Faso,2000,17543,748,75.44
Burkina Faso,2001,18115,748,57.46
Burkina Faso,2002,17381,748,39.47
Burkina Faso,2004,12666,748,1.28
Burkina Faso,2005,18058,748,92.21
Burkina Faso,2006,19444,748,109.24
Burkina Faso,2007,11736,748,292.05
Burkina Faso,2008,16662,748,190.92
Burkina Faso,2009,15286,748,132.3
Burkina Faso,2010,14342,748,442.89
Burkina Faso,2011,15356,748,843
Burkina Faso,2012,18386,748,843
Burkina Faso,2013,17353,748,843
Burundi,1990,13540,1274,92.08
Burundi,1991,13887,1274,92.08
Burundi,1992,14218,1274,92.08
Burundi,1993,14342,1274,96.99
Burundi,1994,12276,1274,84.45
Burundi,1995,12752,1274,144.2
Burundi,1996,13133,1274,207.1
Burundi,1997,12608,1274,117.56
Burundi,1998,11463,1274,107.29
Burundi,1999,11192,1274,150.24
Burundi,2000,10521,1274,109.87
Burundi,2001,10817,1274,72.56
Burundi,2002,10931,1274,98.1
Burundi,2004,10807,1274,508.26
Burundi,2005,10833,1274,304.83
Burundi,2006,10159,1274,190.51
Burundi,2007,10244,1274,412.66
Burundi,2008,10041,1274,456.44
Burundi,2009,10032,1274,177.75
Burundi,2010,10511,1274,264.53
Burundi,2011,11023,1274,75.64
Burundi,2012,11763,1274,98.59
Burundi,2013,13218,1274,956.06
Cameroon,1990,18543,1604,450.01
Cameroon,1991,19800,1604,99.09
Cameroon,1992,13974,1604,1137.56
Cameroon,1993,11267,1604,774.49
Cameroon,1994,11644,1604,411.42
Cameroon,1995,15450,1604,48.35
Cameroon,1996,18750,1604,180.08
Cameroon,1997,20267,1604,630.12
Cameroon,1998,18911,1604,258.02
Cameroon,1999,25907,1604,653
Cameroon,2000,24615,1604,545
Cameroon,2001,24404,1604,687
Cameroon,2002,20679,1604,815.79
Cameroon,2004,19166,1604,849.48
Cameroon,2005,21334,1604,829.59
Cameroon,2006,22224,1604,950.22
Cameroon,2007,20000,1604,918.88
Cameroon,2008,20000,1604,882.13
Cameroon,2009,19787,1604,813.77
Cameroon,2010,19741,1604,1160.63
Cameroon,2011,20240,1604,1372.47
Cameroon,2012,17152,1604,1372.47
Cameroon,2013,19787,1604,1372.47
Canada,1990,68602,537,29568
Canada,1990,68602,537,29568
Canada,1990,68602,537,29568
